date,country,cost,cost_type
2023-09-01,Afghanistan,0.093,wpp_price
2023-09-01,Albania,0.031,wpp_price
2023-09-01,Algeria,0.1089,wpp_price
2023-09-01,Andorra,0.093,wpp_price
2023-09-01,Angola,0.2178,wpp_price
2023-09-01,Anguilla,0.0423,wpp_price
2023-09-01,Argentina,398.95000000000005,wpp_price
2023-09-01,Australia,0.744,wpp_price
2023-09-01,Austria,0.058,wpp_price
2023-09-01,Azerbaijan,0.031,wpp_price
2023-09-01,Bangladesh,0.062,wpp_price
2023-09-01,Barbados,0.0423,wpp_price
2023-09-01,Belgium,0.17400000000000002,wpp_price
2023-09-01,Belize,0.0423,wpp_price
2023-09-01,Benin,0.4719,wpp_price
2023-09-01,Bermuda,0.0423,wpp_price
2023-09-01,Bolivia,9.3906,wpp_price
2023-09-01,Brazil,21.27,wpp_price
2023-09-01,Bulgaria,0.062,wpp_price
2023-09-01,Burkina Faso,0.5082,wpp_price
2023-09-01,Burundi,0.0363,wpp_price
2023-09-01,Cameroon,0.6171,wpp_price
2023-09-01,Canada,0.62,wpp_price
2023-09-01,Chad,0.0363,wpp_price
2023-09-01,Chile,126.48440000000001,wpp_price
2023-09-01,China,0.1344,wpp_price
2023-09-01,Colombia,17.85,wpp_price
2023-09-01,Congo,1.3431,wpp_price
2023-09-01,Costa Rica,13.239899999999999,wpp_price
2023-09-01,Croatia,0.062,wpp_price
2023-09-01,Cuba,0.4653,wpp_price
2023-09-01,Curaçao,0.0846,wpp_price
2023-09-01,Czechia,0.025,wpp_price
2023-09-01,Côte d'Ivoire,0.726,wpp_price
2023-09-01,Denmark,0.093,wpp_price
2023-09-01,Dominican Republic,7.8255,wpp_price
2023-09-01,Ecuador,23.307299999999998,wpp_price
2023-09-01,Egypt,1.5455999999999999,wpp_price
2023-09-01,El Salvador,4.0607999999999995,wpp_price
2023-09-01,Equatorial Guinea,0.0726,wpp_price
2023-09-01,Falkland Islands (Malvinas),0.0423,wpp_price
2023-09-01,Finland,0.062,wpp_price
2023-09-01,France,2.4052000000000002,wpp_price
2023-09-01,French Guiana,0.0846,wpp_price
2023-09-01,Gabon,0.1089,wpp_price
2023-09-01,Germany,3.3579,wpp_price
2023-09-01,Greece,0.093,wpp_price
2023-09-01,Guatemala,4.9068,wpp_price
2023-09-01,Guinea,0.0363,wpp_price
2023-09-01,Haiti,0.2115,wpp_price
2023-09-01,Honduras,4.5261,wpp_price
2023-09-01,Hong Kong,0.0224,wpp_price
2023-09-01,Hungary,0.125,wpp_price
2023-09-01,India,0.3,wpp_price
2023-09-01,Indonesia,0.39899999999999997,wpp_price
2023-09-01,Ireland,0.072,wpp_price
2023-09-01,Israel,0.9374,wpp_price
2023-09-01,Italy,3.088,wpp_price
2023-09-01,Jamaica,0.0423,wpp_price
2023-09-01,Japan,0.0672,wpp_price
2023-09-01,Kazakhstan,0.062,wpp_price
2023-09-01,Korea,0.0672,wpp_price
2023-09-01,Kyrgyzstan,0.031,wpp_price
2023-09-01,Lebanon,0.0436,wpp_price
2023-09-01,Libya,0.0363,wpp_price
2023-09-01,Malaysia,0.46199999999999997,wpp_price
2023-09-01,Mali,0.0363,wpp_price
2023-09-01,Malta,0.093,wpp_price
2023-09-01,Mexico,12.589500000000001,wpp_price
2023-09-01,Moldova,0.031,wpp_price
2023-09-01,Montenegro,0.031,wpp_price
2023-09-01,Morocco,186.9813,wpp_price
2023-09-01,Mozambique,0.1089,wpp_price
2023-09-01,Myanmar,0.093,wpp_price
2023-09-01,Netherlands,1.1582999999999999,wpp_price
2023-09-01,New Zealand,0.2464,wpp_price
2023-09-01,Nicaragua,2.7072,wpp_price
2023-09-01,Niger,0.031,wpp_price
2023-09-01,Nigeria,0.1089,wpp_price
2023-09-01,Norfolk Island,0.031,wpp_price
2023-09-01,Northern Mariana Islands,0.031,wpp_price
2023-09-01,Norway,0.093,wpp_price
2023-09-01,Pakistan,0.18460000000000001,wpp_price
2023-09-01,Palestine,0.0218,wpp_price
2023-09-01,Panama,10.0251,wpp_price
2023-09-01,Paraguay,39.5928,wpp_price
2023-09-01,Peru,7.532800000000001,wpp_price
2023-09-01,Philippines,0.3136,wpp_price
2023-09-01,Poland,0.05,wpp_price
2023-09-01,Portugal,0.6819999999999999,wpp_price
2023-09-01,Puerto Rico,0.6345,wpp_price
2023-09-01,Romania,0.248,wpp_price
2023-09-01,Russian Federation,0.24650000000000002,wpp_price
2023-09-01,Saint Pierre and Miquelon,0.0423,wpp_price
2023-09-01,Senegal,0.0363,wpp_price
2023-09-01,Serbia,0.031,wpp_price
2023-09-01,Seychelles,0.0363,wpp_price
2023-09-01,Singapore,0.2016,wpp_price
2023-09-01,Sint Maarten (Dutch part),0.031,wpp_price
2023-09-01,Solomon Islands,0.031,wpp_price
2023-09-01,South Africa,0.34800000000000003,wpp_price
2023-09-01,South Sudan,0.0363,wpp_price
2023-09-01,Spain,42.1805,wpp_price
2023-09-01,Sri Lanka,0.062,wpp_price
