country,date,new_subs
Mexico,2023-09-14,2
Mexico,2023-09-15,4
Mexico,2023-09-16,1
Mexico,2023-09-17,2
Mexico,2023-09-18,2
Mexico,2023-09-19,4
Mexico,2023-09-20,6
Mexico,2023-09-21,2
Mexico,2023-09-22,5
Mexico,2023-09-23,5
Mexico,2023-09-25,6
Mexico,2023-09-26,6
Mexico,2023-09-27,1
Mexico,2023-09-28,2
Mexico,2023-09-29,1
Mexico,2023-09-30,5
Morocco,2023-09-05,1
Morocco,2023-09-08,1
Mozambique,2023-09-25,1
Netherlands,2023-09-17,1
Netherlands,2023-09-30,1
New Zealand,2023-09-10,1
Nicaragua,2023-09-28,1
Niger,2023-09-06,1
Panama,2023-09-05,1
Panama,2023-09-11,1
Panama,2023-09-14,1
Panama,2023-09-15,1
Panama,2023-09-16,1
Panama,2023-09-18,1
Panama,2023-09-20,1
Panama,2023-09-23,1
Panama,2023-09-27,1
Paraguay,2023-09-03,1
Paraguay,2023-09-04,1
Paraguay,2023-09-05,1
Paraguay,2023-09-06,3
Paraguay,2023-09-07,1
Paraguay,2023-09-11,1
Paraguay,2023-09-12,1
Paraguay,2023-09-13,1
Paraguay,2023-09-14,1
Paraguay,2023-09-15,3
Paraguay,2023-09-17,2
Paraguay,2023-09-18,1
Paraguay,2023-09-19,1
Paraguay,2023-09-20,5
Paraguay,2023-09-24,1
Paraguay,2023-09-26,1
Paraguay,2023-09-27,2
Paraguay,2023-09-29,1
Peru,2023-09-02,1
Peru,2023-09-03,1
Peru,2023-09-04,2
Peru,2023-09-05,2
Peru,2023-09-06,1
Peru,2023-09-08,1
Peru,2023-09-10,1
Peru,2023-09-11,1
Peru,2023-09-12,2
Peru,2023-09-13,2
Peru,2023-09-14,3
Peru,2023-09-15,1
Peru,2023-09-16,1
Peru,2023-09-18,4
Peru,2023-09-20,1
Peru,2023-09-22,1
Peru,2023-09-25,1
Peru,2023-09-26,2
Peru,2023-09-27,2
Peru,2023-09-28,1
Puerto Rico,2023-09-06,1
Puerto Rico,2023-09-15,1
Qatar,2023-09-28,1
Romania,2023-09-04,1
Slovakia,2023-09-04,1
Slovakia,2023-09-25,1
South Africa,2023-09-01,1
South Africa,2023-09-06,1
South Africa,2023-09-08,1
South Africa,2023-09-15,2
South Africa,2023-09-19,1
South Africa,2023-09-20,1
South Africa,2023-09-22,1
Spain,2023-09-02,2
Spain,2023-09-03,1
Spain,2023-09-05,2
Spain,2023-09-08,3
Spain,2023-09-10,1
Spain,2023-09-12,2
Spain,2023-09-14,3
Spain,2023-09-15,9
Spain,2023-09-16,1
Spain,2023-09-17,1
Spain,2023-09-18,5
Spain,2023-09-19,4
Spain,2023-09-20,4
Spain,2023-09-21,7
Spain,2023-09-22,1
Spain,2023-09-23,3
Spain,2023-09-24,1
Spain,2023-09-25,1
Spain,2023-09-26,5
Spain,2023-09-27,6
Spain,2023-09-28,7
Spain,2023-09-29,3
Spain,2023-09-30,5
United Arab Emirates,2023-09-20,1
United Arab Emirates,2023-09-25,1
United Kingdom,2023-09-06,1
United Kingdom,2023-09-10,1
United Kingdom,2023-09-18,2
United Kingdom,2023-09-19,1
United Kingdom,2023-09-20,3
United Kingdom,2023-09-21,2
United Kingdom,2023-09-22,1
United Kingdom,2023-09-23,1
United Kingdom,2023-09-25,1
United Kingdom,2023-09-29,1
United States,2023-09-01,2
United States,2023-09-03,1
United States,2023-09-04,2
United States,2023-09-05,3
United States,2023-09-06,4
United States,2023-09-07,3
United States,2023-09-08,1
United States,2023-09-09,1
United States,2023-09-11,2
United States,2023-09-12,1
United States,2023-09-13,1
United States,2023-09-14,6
United States,2023-09-15,9
United States,2023-09-16,2
United States,2023-09-18,3
United States,2023-09-19,3
United States,2023-09-20,5
United States,2023-09-21,6
United States,2023-09-22,3
United States,2023-09-23,1
United States,2023-09-24,4
United States,2023-09-25,1
United States,2023-09-26,4
United States,2023-09-27,2
United States,2023-09-28,2
United States,2023-09-29,3
United States,2023-09-30,1
Uruguay,2023-09-02,3
Uruguay,2023-09-03,3
Uruguay,2023-09-04,4
Uruguay,2023-09-05,2
Uruguay,2023-09-07,2
Uruguay,2023-09-08,2
Uruguay,2023-09-09,1
Uruguay,2023-09-10,2
Uruguay,2023-09-11,4
Uruguay,2023-09-12,1
Uruguay,2023-09-13,2
Uruguay,2023-09-14,2
Uruguay,2023-09-15,3
Uruguay,2023-09-16,2
Uruguay,2023-09-17,5
Uruguay,2023-09-18,7
Uruguay,2023-09-19,6
Uruguay,2023-09-20,10
Uruguay,2023-09-21,5
Uruguay,2023-09-22,3
Uruguay,2023-09-23,3
Uruguay,2023-09-24,2
Uruguay,2023-09-25,6
Uruguay,2023-09-26,6
Uruguay,2023-09-27,1
Uruguay,2023-09-28,2
Uruguay,2023-09-29,3
Uruguay,2023-09-30,3
Venezuela,2023-09-01,1
Venezuela,2023-09-04,1
Venezuela,2023-09-05,3
Venezuela,2023-09-08,2
Venezuela,2023-09-10,1
Venezuela,2023-09-11,2
Venezuela,2023-09-12,1
Venezuela,2023-09-16,1
Venezuela,2023-09-19,1
Venezuela,2023-09-20,1
Venezuela,2023-09-21,1
Venezuela,2023-09-22,3
Venezuela,2023-09-23,1
Venezuela,2023-09-24,1
Venezuela,2023-09-25,1
Venezuela,2023-09-26,2
Venezuela,2023-09-27,2
Venezuela,2023-09-28,1
Venezuela,2023-09-29,3
Venezuela,2023-09-30,1
